,,,,Scor,Scor,Scor,Scor,Scor,Scor,,Goal,Goal,Goal,Goal,Assi,Assi,Assi,,,Ice,Ice,,,,,
Player,Age,Pos,Tm,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
Jamie Benn\bennja01,25,LW,DAL,82,35,52,87,1,64,10.7,23,10,2,6,37,13,2,253,13.8,1636,19:57,50,120,298,278,51.7
John Tavares\tavarjo01,24,C,NYI,82,38,48,86,5,46,11.2,25,13,0,8,29,18,1,278,13.7,1695,20:40,37,48,753,689,52.2
Sidney Crosby\crosbsi01,27,C,PIT,77,28,56,84,5,47,10.3,18,10,0,3,35,21,0,237,11.8,1538,19:58,29,66,797,789,50.3
Alex Ovechkin\ovechal01,29,LW,WSH,81,53,28,81,10,58,12.6,28,25,0,11,19,9,0,395,13.4,1646,20:20,32,259,2,3,40.0
Jakub Voracek\voracja01,25,RW,PHI,82,22,59,81,1,78,8.8,11,11,0,3,37,22,0,221,10.0,1525,18:36,28,55,6,3,66.7
Nicklas Backstrom\backsni02,27,C,WSH,82,18,60,78,5,40,8.1,15,3,0,3,30,30,0,153,11.8,1683,20:32,52,91,862,747,53.6
Tyler Seguin\seguity01,23,C,DAL,71,37,40,77,-1,20,10.2,24,13,0,5,24,16,0,280,13.2,1388,19:33,26,63,275,236,53.8
Jiri Hudler\hudleji01,31,C,CGY,78,31,45,76,17,14,10.2,25,6,0,5,35,10,0,158,19.6,1405,18:01,14,27,21,25,45.7
Daniel Sedin\sedinda01,34,LW,VAN,82,20,56,76,5,18,8.5,16,4,0,5,35,21,0,226,8.8,1505,18:21,16,21,2,3,40.0
Vladimir Tarasenko\tarasvl01,23,RW,STL,77,37,36,73,27,31,11.2,29,8,0,6,26,10,0,264,14.0,1357,17:37,18,32,0,3,0.0
Nick Foligno\foligni01,27,LW,CBJ,79,31,42,73,16,50,9.7,20,11,0,3,27,15,0,182,17.0,1488,18:50,52,193,125,138,47.5
Claude Giroux\giroucl01,27,C,PHI,81,25,48,73,-3,36,7.9,11,14,0,4,25,23,0,279,9.0,1666,20:34,28,110,1063,807,56.8
Henrik Sedin\sedinhe01,34,C,VAN,82,18,55,73,11,22,8.1,13,5,0,0,35,20,0,101,17.8,1526,18:37,24,23,708,848,45.5
Steven Stamkos\stamkst01,24,C,TBL,82,43,29,72,2,49,10.1,30,13,0,6,17,12,0,268,16.0,1588,19:22,33,87,438,466,48.5
Tyler Johnson\johnsty01,24,C,TBL,77,29,43,72,33,24,10.3,21,8,0,6,34,9,0,203,14.3,1327,17:14,35,63,508,569,47.2
Ryan Johansen\johanry01,22,C,CBJ,82,26,45,71,-6,40,7.8,17,7,2,0,26,19,0,202,12.9,1599,19:30,33,84,850,787,51.9
Joe Pavelski\paveljo01,30,C,SJS,82,37,33,70,12,29,9.7,18,19,0,5,21,12,0,261,14.2,1650,20:08,82,92,604,508,54.3
Evgeni Malkin\malkiev01,28,C,PIT,69,28,42,70,-2,60,8.8,19,9,0,4,25,17,0,212,13.2,1309,18:58,18,24,322,427,43.0
Ryan Getzlaf\getzlry01,29,C,ANA,77,25,45,70,15,62,8.6,22,3,0,6,33,10,2,191,13.1,1548,20:06,95,100,632,612,50.8
Rick Nash\nashri01,30,LW,NYR,79,42,27,69,29,36,11.4,32,6,4,8,20,6,1,304,13.8,1379,17:27,33,45,2,2,50.0
Max Pacioretty\pacioma01,26,LW,MTL,80,37,30,67,38,32,10.9,27,7,3,10,24,4,2,302,12.3,1552,19:24,38,106,2,7,22.2
Logan Couture\coutulo01,25,C,SJS,82,27,40,67,-6,12,7.6,19,6,2,4,22,18,0,263,10.3,1564,19:04,64,82,451,511,46.9
Jonathan Toews\toewsjo01,26,C,CHI,81,28,38,66,30,36,9.4,20,6,2,7,26,11,1,192,14.6,1585,19:34,16,56,947,728,56.5
Erik Karlsson\karlser01,24,D,OTT,82,21,45,66,7,42,11.9,15,6,0,3,21,24,0,292,7.2,2235,27:15,89,93,0,0,
Henrik Zetterberg\zettehe01,34,LW,DET,77,17,49,66,-6,32,6.7,13,4,0,3,25,24,0,227,7.5,1472,19:07,26,55,541,522,50.9
Nikita Kucherov\kucheni01,21,RW,TBL,82,29,36,65,38,37,9.9,27,2,0,2,23,13,0,191,15.2,1226,14:57,28,65,0,2,0.0
Pavel Datsyuk\datsypa01,36,C,DET,63,26,39,65,12,8,8.8,18,8,0,5,23,16,0,165,15.8,1200,19:03,28,51,601,517,53.8
Joe Thornton\thornjo01,35,C,SJS,78,16,49,65,-4,30,6.5,12,4,0,0,31,18,0,131,12.2,1437,18:25,24,39,535,405,56.9
Patrick Kane\kanepa01,26,RW,CHI,61,27,37,64,10,10,8.8,21,6,0,5,21,16,0,186,14.5,1211,19:51,14,22,3,4,42.9
Mark Stone\stonema01,22,RW,OTT,80,26,38,64,21,14,8.7,20,5,1,6,30,8,0,157,16.6,1362,17:01,53,49,7,11,38.9
Johnny Gaudreau\gaudrjo01,21,LW,CGY,80,24,40,64,11,14,7.8,16,8,0,4,27,13,0,167,14.4,1417,17:43,27,14,3,5,37.5
Alex Steen\steenal01,30,LW,STL,74,24,40,64,8,33,7.7,16,8,0,5,24,16,0,223,10.8,1479,19:59,37,32,222,210,51.4
Kyle Turris\turriky01,25,C,OTT,82,24,40,64,5,36,7.4,19,4,1,6,28,12,0,215,11.2,1576,19:13,40,48,737,730,50.2
Anze Kopitar\kopitan01,27,C,LAK,79,16,48,64,-2,10,6.4,10,6,0,4,30,18,0,134,11.9,1532,19:23,45,104,736,674,52.2
Radim Vrbata\vrbatra01,33,RW,VAN,79,31,32,63,6,20,8.6,19,12,0,7,21,11,0,267,11.6,1312,16:37,25,44,5,4,55.6
Jaden Schwartz\schwaja01,22,LW,STL,75,28,35,63,13,16,8.4,20,8,0,4,25,8,2,184,15.2,1368,18:15,46,53,69,77,47.3
Filip Forsberg\forsbfi01,20,C,NSH,82,26,37,63,15,24,8.3,20,6,0,6,24,13,0,237,11.0,1421,17:20,28,108,3,4,42.9
Jordan Eberle\eberljo01,24,RW,EDM,81,24,39,63,-16,24,6.8,18,6,0,2,24,15,0,183,13.1,1542,19:03,36,62,1,5,16.7
Ondrej Palat\palaton01,23,LW,TBL,75,16,47,63,31,24,7.8,12,3,1,5,38,8,1,139,11.5,1307,17:26,50,125,10,25,28.6
Zach Parise\parisza01,30,LW,MIN,74,33,29,62,21,41,9.4,22,11,0,3,24,5,0,259,12.7,1420,19:11,56,86,2,10,16.7
Sean Monahan\monahse01,20,C,CGY,81,31,31,62,8,12,7.9,20,10,1,8,21,9,1,191,16.2,1589,19:37,42,39,902,917,49.6
Jeff Carter\carteje01,30,C,LAK,82,28,34,62,7,28,8.0,17,10,1,5,28,5,1,218,12.8,1474,17:58,32,74,602,577,51.1
Andrew Ladd\laddan01,29,LW,WPG,81,24,38,62,9,72,7.4,15,9,0,6,27,10,1,224,10.7,1626,20:04,38,212,7,13,35.0
Jason Spezza\spezzja01,31,C,DAL,82,17,45,62,-7,28,5.9,13,4,0,1,23,22,0,204,8.3,1412,17:13,26,16,682,580,54.0
Mike Ribeiro\ribeimi01,34,C,NSH,82,15,47,62,11,52,6.5,14,1,0,3,36,11,0,96,15.6,1537,18:45,19,42,582,766,43.2
Blake Wheeler\wheelbl01,28,RW,WPG,79,26,35,61,26,73,8.4,20,2,4,6,24,10,1,244,10.7,1553,19:40,54,128,22,26,45.8
Phil Kessel\kesseph01,27,RW,TOR,82,25,36,61,-34,30,5.9,17,8,0,4,19,17,0,280,8.9,1541,18:48,13,18,2,3,40.0
Marian Hossa\hossama01,36,RW,CHI,82,22,39,61,17,32,7.7,15,6,1,2,28,11,0,247,8.9,1521,18:33,26,62,4,3,57.1
Scott Hartnell\hartnsc01,32,LW,CBJ,77,28,32,60,1,100,7.5,20,8,0,2,24,8,0,204,13.7,1332,17:18,38,160,7,7,50.0
Tomas Plekanec\plekato01,32,C,MTL,82,26,34,60,8,46,7.5,16,7,3,5,24,9,1,248,10.5,1571,19:09,55,47,777,771,50.2
Derick Brassard\brassde01,27,C,NYR,80,19,41,60,9,34,6.9,13,6,0,3,29,12,0,168,11.3,1392,17:24,13,104,669,699,48.9
Brent Burns\burnsbr01,29,D,SJS,82,17,43,60,-9,65,9.5,10,7,0,2,26,17,0,245,6.9,1964,23:57,124,148,0,0,
P.K. Subban\subbapk01,25,D,MTL,82,15,45,60,21,74,12.4,7,8,0,5,32,13,0,170,8.8,2149,26:12,142,97,0,0,
Jarome Iginla\iginlja01,37,RW,COL,82,29,30,59,0,42,7.4,21,8,0,2,25,5,0,189,15.3,1487,18:08,47,99,57,71,44.5
Gabriel Landeskog\landega01,22,LW,COL,82,23,36,59,-2,79,6.6,15,8,0,2,27,9,0,214,10.7,1517,18:30,73,169,16,29,35.6
David Backes\backeda01,30,C,STL,80,26,32,58,7,104,7.2,16,10,0,3,26,6,0,183,14.2,1491,18:38,87,227,615,507,54.8
Patrick Marleau\marlepa01,35,LW,SJS,82,19,38,57,-17,12,5.1,12,7,0,4,21,17,0,233,8.2,1606,19:35,26,83,139,182,43.3
Tomas Tatar\tatarto01,24,C,DET,82,29,27,56,6,28,7.7,20,9,0,7,17,10,0,211,13.7,1330,16:13,18,90,6,4,60.0
James van Riemsdyk\vanrija01,25,LW,TOR,82,27,29,56,-33,43,5.6,17,9,1,4,19,10,0,248,10.9,1565,19:05,29,83,21,33,38.9
Ryan Nugent-Hopkins\nugenry01,21,C,EDM,76,24,32,56,-12,25,6.2,22,2,0,2,19,12,1,189,12.7,1569,20:38,37,92,620,727,46.0
Dennis Wideman\widemde01,31,D,CGY,80,15,41,56,6,34,10.1,9,6,0,2,26,15,0,173,8.7,1971,24:39,184,94,0,0,
Corey Perry\perryco01,29,RW,ANA,67,33,22,55,13,67,8.4,29,4,0,3,19,3,0,193,17.1,1213,18:06,27,64,3,9,25.0
Patrice Bergeron\bergepa01,29,C,BOS,81,23,32,55,2,44,6.4,18,4,1,4,21,10,1,234,9.8,1469,18:08,60,57,1175,764,60.6
Alex Tanguay\tangual01,35,LW,COL,80,22,33,55,-1,40,6.2,19,2,1,4,21,12,0,104,21.2,1453,18:10,39,45,12,16,42.9
Matt Duchene\duchema01,24,C,COL,82,21,34,55,3,16,6.2,19,2,0,4,29,5,0,207,10.1,1523,18:34,74,43,635,582,52.2
T.J. Oshie\oshietj01,28,RW,STL,72,19,36,55,17,51,6.7,16,3,0,4,26,10,0,162,11.7,1356,18:50,39,99,3,10,23.1
Ryan O'Reilly\oreilry01,23,C,COL,82,17,38,55,-5,12,5.2,14,2,1,1,27,10,1,171,9.9,1617,19:43,48,38,713,621,53.4
Derek Stepan\stepade01,24,C,NYR,68,16,39,55,26,22,7.0,11,3,2,3,29,7,3,155,10.3,1236,18:11,27,36,545,680,44.5
Roman Josi\josiro01,24,D,NSH,81,15,40,55,15,26,10.8,12,3,0,4,25,12,3,201,7.5,2144,26:28,209,53,0,1,0.0
John Carlson\carlsjo01,25,D,WSH,82,12,43,55,11,28,10.0,8,3,1,3,30,13,0,193,6.2,1892,23:04,200,74,0,0,
Gustav Nyquist\nyquigu01,25,C,DET,82,27,27,54,-11,26,6.4,13,14,0,4,17,10,0,195,13.8,1366,16:39,31,43,1,8,11.1
Ryan Callahan\callary01,29,RW,TBL,77,24,30,54,9,41,6.6,14,10,0,4,24,6,0,191,12.6,1366,17:44,48,181,12,19,38.7
Eric Staal\staaler01,30,C,CAR,77,23,31,54,-13,41,6.2,16,7,0,4,21,10,0,244,9.4,1451,18:51,27,65,343,326,51.3
Jason Pominville\pominja01,32,RW,MIN,82,18,36,54,9,8,6.1,15,3,0,4,25,11,0,252,7.1,1499,18:17,32,44,39,47,45.3
Bobby Ryan\ryanbo01,27,RW,OTT,78,18,36,54,5,24,6.0,14,4,0,5,26,10,0,221,8.1,1363,17:28,33,110,4,7,36.4
Jonathan Huberdeau\huberjo01,21,LW,FLA,79,15,39,54,10,38,6.0,15,0,0,0,27,12,0,169,8.9,1323,16:45,24,68,2,6,25.0
Kris Letang\letankr01,27,D,PIT,69,11,43,54,12,79,10.1,8,2,1,1,21,22,0,197,5.6,1759,25:29,117,131,0,1,0.0
Tyson Barrie\barrity01,23,D,COL,80,12,41,53,5,26,9.4,10,2,0,0,27,14,0,139,8.6,1709,21:22,90,80,0,0,
Bryan Little\littlbr01,27,C,WPG,70,24,28,52,8,24,6.6,14,9,1,3,19,9,0,148,16.2,1394,19:55,32,55,759,780,49.3
Brandon Saad\saadbr01,22,LW,CHI,82,23,29,52,7,12,6.5,21,2,0,6,21,8,0,203,11.3,1415,17:15,29,53,38,50,43.2
Martin St. Louis\stlouma01,39,RW,NYR,74,21,31,52,12,20,6.5,16,5,0,1,23,8,0,144,14.6,1300,17:34,37,13,51,59,46.4
Thomas Vanek\vanekth01,31,LW,MIN,80,21,31,52,-6,37,5.9,16,5,0,2,19,12,0,171,12.3,1297,16:13,13,32,10,10,50.0
Mark Streit\streima01,37,D,PHI,81,9,43,52,-8,36,7.5,5,4,0,0,17,26,0,144,6.3,1812,22:22,103,63,0,0,
Keith Yandle\yandlke01,28,D,TOT,84,6,46,52,-26,40,6.6,4,2,0,2,19,27,0,232,2.6,1925,22:55,101,53,0,0,
Patric Hornqvist\hornqpa01,28,RW,PIT,64,25,26,51,12,38,7.2,19,6,0,4,17,9,0,220,11.4,1130,17:39,33,87,2,5,28.6
Kyle Okposo\okposky01,26,RW,NYI,60,18,33,51,-8,12,5.3,12,6,0,2,21,12,0,195,9.2,1173,19:33,23,53,80,81,49.7
Wayne Simmonds\simmowa01,26,RW,PHI,75,28,22,50,-5,66,6.3,14,14,0,6,12,10,0,188,14.9,1261,16:48,36,168,4,1,80.0
Ryan Strome\stromry01,21,C,NYI,81,17,33,50,23,47,6.3,15,1,1,2,26,7,0,179,9.5,1247,15:24,21,92,149,170,46.7
Andrei Markov\markoan01,36,D,MTL,81,10,40,50,22,38,10.7,6,4,0,1,18,21,1,135,7.4,2018,24:55,173,53,0,0,
Tyler Bozak\bozakty01,28,C,TOR,82,23,26,49,-34,44,4.2,9,12,2,3,20,6,0,154,14.9,1570,19:09,46,83,944,831,53.2
Tyler Toffoli\toffoty01,22,C,LAK,76,23,26,49,25,37,7.4,15,3,5,3,23,2,1,200,11.5,1109,14:35,11,86,4,5,44.4
Justin Faulk\faulkju01,22,D,CAR,82,15,34,49,-19,30,9.1,6,7,2,4,21,13,0,238,6.3,2003,24:26,114,157,0,0,
Mark Scheifele\scheima01,21,C,WPG,82,15,34,49,11,24,5.2,12,3,0,2,24,10,0,170,8.8,1524,18:35,61,98,506,659,43.4
Mats Zuccarello\zuccama01,27,LW,NYR,78,15,34,49,17,45,5.6,15,0,0,3,28,6,0,154,9.7,1346,17:16,42,117,17,20,45.9
Mike Hoffman\hoffmmi02,25,LW,OTT,79,27,21,48,16,14,7.2,26,1,0,4,19,2,0,199,13.6,1150,14:33,33,40,7,7,50.0
David Desharnais\deshada01,28,C,MTL,82,14,34,48,22,24,5.6,12,2,0,4,25,9,0,90,15.6,1414,17:15,49,43,629,560,52.9
Mikko Koivu\koivumi01,31,C,MIN,80,14,34,48,2,38,4.6,10,4,0,4,23,11,0,179,7.8,1542,19:16,41,40,989,791,55.6
Valtteri Filppula\filppva01,30,C,TBL,82,12,36,48,-14,24,3.2,10,2,0,0,21,15,0,91,13.2,1559,19:01,27,23,573,567,50.3
Mark Giordano\giordma01,31,D,CGY,61,11,37,48,13,37,9.0,8,2,1,2,25,12,0,157,7.0,1536,25:10,128,59,0,0,
Marian Gaborik\gaborma01,32,RW,LAK,69,27,20,47,7,16,6.7,16,11,0,2,13,7,0,174,15.5,1167,16:55,6,39,1,0,100.0
Brendan Gallagher\gallabr01,22,RW,MTL,82,24,23,47,18,31,6.6,21,3,0,6,18,5,0,254,9.4,1360,16:35,49,48,43,52,45.3
Loui Eriksson\erikslo01,29,RW,BOS,81,22,25,47,1,14,5.3,16,6,0,4,19,5,1,169,13.0,1497,18:29,23,29,4,8,33.3
Marcus Johansson\johanma03,24,C,WSH,82,20,27,47,6,10,5.4,17,3,0,1,15,12,0,138,14.5,1351,16:29,18,69,7,9,43.8
Ryan Kesler\keslery01,30,C,ANA,81,20,27,47,-5,75,4.5,14,5,1,4,19,6,2,205,9.8,1581,19:31,69,169,937,718,56.6
Brayden Schenn\schenbr01,23,C,PHI,82,18,29,47,-5,34,4.6,11,7,0,6,17,12,0,156,11.5,1401,17:05,38,199,86,98,46.7
Jaromir Jagr\jagrja01,42,RW,TOT,77,17,30,47,-3,48,5.0,13,4,0,5,23,7,0,169,10.1,1353,17:34,14,30,1,0,100.0
Chris Kreider\kreidch01,23,LW,NYR,80,21,25,46,24,88,6.4,14,7,0,5,24,1,0,180,11.7,1257,15:43,17,162,9,12,42.9
Tyler Ennis\ennisty01,25,C,BUF,78,20,26,46,-19,37,4.4,13,6,1,2,15,11,0,185,10.8,1491,19:07,35,87,67,115,36.8
Alex Galchenyuk\galchal01,20,C,MTL,80,20,26,46,8,39,5.6,17,3,0,1,17,9,0,163,12.3,1314,16:26,44,91,82,85,49.1
Mika Zibanejad\zibanmi01,21,C,OTT,80,20,26,46,0,20,5.1,16,4,0,0,16,10,0,150,13.3,1315,16:26,26,149,615,638,49.1
Paul Stastny\stastpa01,29,C,STL,74,16,30,46,5,40,4.9,9,7,0,7,22,8,0,143,11.2,1304,17:38,30,22,671,479,58.3
Drew Doughty\doughdr01,25,D,LAK,82,7,39,46,3,56,8.6,6,1,0,2,22,16,1,219,3.2,2378,29:00,144,152,0,1,0.0
Alex Pietrangelo\pietral01,25,D,STL,81,7,39,46,-2,28,7.5,6,1,0,2,28,11,0,195,3.6,2058,25:25,161,70,0,0,
Dustin Byfuglien\byfugdu01,29,D,WPG,69,18,27,45,5,124,8.8,13,5,0,3,14,12,1,209,8.6,1565,22:41,60,204,0,3,0.0
Kevin Hayes\hayeske01,22,RW,NYR,79,17,28,45,15,22,5.8,15,1,1,1,24,4,0,111,15.3,1030,13:02,33,56,248,430,36.6
Shea Weber\webersh01,29,D,NSH,78,15,30,45,15,72,9.6,9,5,1,2,20,10,0,237,6.3,2057,26:22,147,166,0,0,
Mike Green\greenmi03,29,D,WSH,72,10,35,45,15,34,8.6,9,1,0,2,19,16,0,159,6.3,1376,19:06,93,82,0,0,
Duncan Keith\keithdu01,31,D,CHI,80,10,35,45,12,20,9.3,7,3,0,2,21,13,1,171,5.8,2045,25:34,113,16,0,0,
Justin Abdelkader\abdelju01,27,LW,DET,71,23,21,44,3,72,5.6,15,8,0,5,15,6,0,154,14.9,1272,17:55,28,153,7,8,46.7
Craig Smith\smithcr01,25,C,NSH,82,23,21,44,11,44,5.8,17,6,0,4,18,3,0,251,9.2,1291,15:44,17,77,13,18,41.9
Milan Lucic\lucicmi01,26,LW,BOS,81,18,26,44,13,81,5.3,16,2,0,4,20,6,0,141,12.8,1325,16:21,23,259,34,40,45.9
Jori Lehtera\lehtejo01,27,C,STL,75,14,30,44,21,48,5.3,11,2,1,2,24,5,1,103,13.6,1216,16:13,34,42,541,513,51.3
Carl Soderberg\soderca01,29,C,BOS,82,13,31,44,10,26,4.5,8,5,0,3,28,3,0,163,8.0,1378,16:49,36,76,369,389,48.7
Niklas Kronwall\kronwni01,34,D,DET,80,9,35,44,-4,40,7.2,6,3,0,1,15,20,0,101,8.9,1907,23:50,106,91,1,0,100.0
Jussi Jokinen\jokinju01,31,LW,FLA,81,8,36,44,-2,34,3.5,6,2,0,0,29,7,0,134,6.0,1356,16:44,50,52,126,124,50.4
Kevin Shattenkirk\shattke01,26,D,STL,56,8,36,44,19,52,8.5,4,4,0,1,15,21,0,135,5.9,1263,22:34,86,42,0,0,
Nick Bjugstad\bjugsni01,22,C,FLA,72,24,19,43,-7,38,5.3,17,7,0,3,14,5,0,207,11.6,1194,16:35,29,148,486,508,48.9
Oliver Ekman-Larsson\ekmanol01,23,D,ARI,82,23,20,43,-18,40,8.8,12,10,1,7,10,10,0,264,8.7,2067,25:13,77,167,0,0,
Troy Brouwer\brouwtr01,29,RW,WSH,82,21,22,43,11,53,5.2,11,8,2,3,16,6,0,145,14.5,1437,17:31,39,206,251,190,56.9
Drew Stafford\staffdr01,29,RW,TOT,76,18,25,43,-12,47,4.4,14,4,0,1,19,5,1,147,12.2,1254,16:30,15,81,87,86,50.3
Adam Henrique\henriad01,24,C,NJD,75,16,27,43,-6,34,4.4,11,5,0,3,15,11,1,127,12.6,1331,17:45,46,58,260,246,51.4
Patrick Sharp\sharppa01,33,LW,CHI,68,16,27,43,-8,33,4.5,8,8,0,2,21,6,0,230,7.0,1143,16:49,15,74,53,55,49.1
Frans Nielsen\nielsfr01,30,C,NYI,78,14,29,43,8,12,4.4,9,4,1,4,13,14,2,157,8.9,1293,16:35,80,48,506,543,48.2
Mike Cammalleri\cammami01,32,LW,NJD,68,27,15,42,2,28,6.0,16,9,2,8,13,2,0,156,17.3,1247,18:20,19,29,114,157,42.1
